Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
COL,7,Running Sum of Population,2412,3022.070237000
ROU,2,Running Sum of Population,2420,3024.376003200
BOL,8,Running Sum of Population,2430,3025.012350200
FRA,1,Running Sum of Population,2437,3030.779243400
ISR,2,Running Sum of Population,2489,3031.223443400
HUN,6,Running Sum of Population,2496,3032.283092100
LKA,10,Running Sum of Population,2507,3033.942992100
VEN,6,Running Sum of Population,2516,3035.826919900
MYS,7,Running Sum of Population,2526,3037.546926700
BLR,3,Running Sum of Population,2560,3038.560926700
ARG,3,Running Sum of Population,2565,3041.733839700
PRT,2,Running Sum of Population,2569,3042.735800700
KAZ,3,Running Sum of Population,2595,3044.348883900
TTO,6,Running Sum of Population,2611,3044.469006300
SLV,8,Running Sum of Population,2616,3044.987962800
MEX,5,Running Sum of Population,2627,3053.088972400
GRC,1,Running Sum of Population,2634,3054.092670700
USA,1,Running Sum of Population,2636,3078.542571500
NLD,1,Running Sum of Population,2652,3080.018580900
JOR,7,Running Sum of Population,2656,3080.313380900
LTU,3,Running Sum of Population,2673,3080.678885800
ECU,8,Running Sum of Population,2674,3081.658151600
JAM,8,Running Sum of Population,2688,3081.893791600
POL,3,Running Sum of Population,2732,3085.676240400
DOM,9,Running Sum of Population,2741,3086.366957500
SVN,1,Running Sum of Population,2762,3086.566477100
HUN,7,Running Sum of Population,2778,3087.626125800
URY,4,Running Sum of Population,2788,3087.932942400
SVK,1,Running Sum of Population,2803,3088.458002000
BGR,1,Running Sum of Population,2829,3089.356146600
TUN,9,Running Sum of Population,2839,3090.141908500
PRY,6,Running Sum of Population,2848,3090.544271300
PHL,10,Running Sum of Population,2884,3096.401478500
IRN,8,Running Sum of Population,2886,3101.582552900
BLR,4,Running Sum of Population,2889,3102.596552900
NZL,2,Running Sum of Population,2889,3102.931552900
AUS,1,Running Sum of Population,2890,3104.584772900
TUR,8,Running Sum of Population,2899,3109.812622900
ROU,3,Running Sum of Population,2916,3112.118389100
CRI,8,Running Sum of Population,2997,3112.410045700
IRL,3,Running Sum of Population,3000,3112.762540600
KAZ,4,Running Sum of Population,3002,3114.375623800
MEX,6,Running Sum of Population,3006,3122.476633400
EST,2,Running Sum of Population,3016,3122.632823400
LTU,4,Running Sum of Population,3020,3122.998328300
CHL,8,Running Sum of Population,3030,3124.271669200
CYP,2,Running Sum of Population,3065,3124.345322300
